epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.155,0.89167,4.04399,1.10025,0.63493,0.22027,0.281,0.23583,0.91438,2.63423,1.28462,8.94886e-05,8.94886e-05,8.94886e-05
2,173.753,0.85038,2.66202,1.09879,0.81566,0.77267,0.8582,0.70034,0.9693,1.16546,1.3701,0.000175935,0.000175935,0.000175935
3,246.013,0.8238,1.56169,1.08905,0.95129,0.91901,0.97094,0.79628,0.88918,0.80544,1.25453,0.000258817,0.000258817,0.000258817
4,317.371,0.77977,1.15927,1.05374,0.96725,0.96463,0.98662,0.80862,0.86055,0.64214,1.17283,0.000253962,0.000253962,0.000253962
5,387.569,0.75718,1.00795,1.02793,0.97954,0.9802,0.99142,0.81562,0.84443,0.61102,1.1416,0.000248616,0.000248616,0.000248616
6,457.577,0.73351,0.91803,1.01243,0.98274,0.96107,0.99038,0.82845,0.85163,0.62249,1.17097,0.00024327,0.00024327,0.00024327
7,527.902,0.73079,0.87387,1.00649,0.98807,0.98481,0.99223,0.83022,0.83153,0.55752,1.14602,0.000237924,0.000237924,0.000237924
8,598.494,0.71496,0.83101,0.99943,0.98163,0.98008,0.99031,0.83069,0.82123,0.5646,1.12614,0.000232578,0.000232578,0.000232578
9,670.183,0.71028,0.7921,0.98952,0.98597,0.98922,0.99316,0.84017,0.81166,0.51904,1.12006,0.000227232,0.000227232,0.000227232
10,741.125,0.70945,0.76363,0.98938,0.99127,0.98951,0.99335,0.84157,0.78485,0.49773,1.10269,0.000221886,0.000221886,0.000221886
11,813.079,0.69839,0.73859,0.9841,0.97926,0.98962,0.99333,0.84148,0.77638,0.49302,1.08675,0.00021654,0.00021654,0.00021654
12,883.202,0.69565,0.72363,0.9791,0.98479,0.9932,0.9932,0.84629,0.78885,0.48321,1.10311,0.000211194,0.000211194,0.000211194
13,954.401,0.6832,0.69075,0.97215,0.99179,0.9921,0.99327,0.84455,0.78,0.47448,1.09426,0.000205848,0.000205848,0.000205848
14,1023.44,0.68997,0.68951,0.97968,0.99176,0.99018,0.99328,0.84926,0.76773,0.46268,1.09558,0.000200502,0.000200502,0.000200502
15,1092.24,0.68448,0.67087,0.97215,0.99435,0.99551,0.99344,0.85004,0.76506,0.45314,1.07263,0.000195156,0.000195156,0.000195156
16,1162.28,0.67709,0.65366,0.97406,0.99711,0.99543,0.99371,0.84708,0.76274,0.44654,1.0811,0.00018981,0.00018981,0.00018981
17,1232.15,0.67911,0.63334,0.9722,0.99354,0.99458,0.99375,0.85081,0.76321,0.44086,1.0832,0.000184464,0.000184464,0.000184464
18,1301.74,0.67444,0.62582,0.96646,0.99588,0.99527,0.9937,0.84867,0.75493,0.43488,1.07663,0.000179118,0.000179118,0.000179118
19,1371.07,0.67393,0.61148,0.97015,0.99672,0.99508,0.99333,0.8514,0.76528,0.43794,1.08728,0.000173772,0.000173772,0.000173772
20,1441.81,0.66523,0.59676,0.96203,0.99646,0.99448,0.99343,0.84838,0.76225,0.43017,1.08595,0.000168426,0.000168426,0.000168426
21,1511.85,0.67127,0.59826,0.96838,0.99477,0.99693,0.99408,0.84795,0.75936,0.41479,1.06709,0.00016308,0.00016308,0.00016308
22,1583.39,0.66282,0.5777,0.95979,0.99672,0.9964,0.99378,0.84928,0.7672,0.41074,1.08163,0.000157734,0.000157734,0.000157734
23,1655.15,0.66009,0.56954,0.96077,0.99767,0.9961,0.99387,0.84949,0.77034,0.42266,1.09255,0.000152388,0.000152388,0.000152388
24,1726.82,0.66169,0.57184,0.96272,0.99676,0.99567,0.99384,0.85127,0.75338,0.40251,1.06887,0.000147042,0.000147042,0.000147042
25,1796.64,0.65887,0.55609,0.96367,0.9972,0.99557,0.99403,0.85198,0.76445,0.41245,1.06968,0.000141696,0.000141696,0.000141696
26,1868.9,0.65815,0.54856,0.95769,0.99764,0.99647,0.99396,0.85176,0.74922,0.39694,1.06588,0.00013635,0.00013635,0.00013635
27,1940.14,0.65644,0.53914,0.95858,0.99759,0.99639,0.99403,0.85358,0.76058,0.39556,1.06314,0.000131004,0.000131004,0.000131004
28,2011.1,0.65552,0.53796,0.95615,0.99737,0.99572,0.99387,0.85161,0.7556,0.39483,1.07437,0.000125658,0.000125658,0.000125658
