epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.96801,1.96769,5.06807,1.38381,0.3713,0.1189,0.02658,0.01628,1.53683,4.49174,1.19168,4.427e-05,4.427e-05,4.427e-05
2,18.6645,1.37789,3.25177,1.07507,0.49731,0.18469,0.13203,0.09008,1.21093,3.6746,1.05701,8.99704e-05,8.99704e-05,8.99704e-05
3,27.5522,1.21266,2.26104,1.00334,0.64009,0.23411,0.24854,0.17446,1.15285,1.96315,1.02476,0.000134748,0.000134748,0.000134748
4,37.5769,1.15939,1.83568,0.99845,0.53621,0.32947,0.34669,0.24379,1.09567,1.62005,1.02508,0.000178603,0.000178603,0.000178603
5,50.2951,1.14035,1.5433,0.98411,0.51246,0.46236,0.48179,0.34684,1.06313,1.41251,1.03018,0.000221535,0.000221535,0.000221535
6,63.5614,1.12135,1.36739,0.98734,0.72679,0.49135,0.54667,0.39433,1.05285,1.18165,1.02394,0.000221467,0.000221467,0.000221467
7,76.6346,1.09228,1.23775,0.97766,0.69247,0.5437,0.61823,0.44961,1.03586,1.11917,1.0213,0.00021916,0.00021916,0.00021916
8,90.8037,1.0769,1.18056,0.97497,0.79869,0.57787,0.67014,0.49005,1.05386,1.03941,1.03474,0.000216853,0.000216853,0.000216853
9,103.764,1.0648,1.0675,0.96964,0.77644,0.63989,0.71786,0.52476,1.05242,0.95562,1.04371,0.000214546,0.000214546,0.000214546
10,117.019,1.05149,1.01982,0.97617,0.74269,0.66751,0.72961,0.53486,1.03437,0.97551,1.01669,0.00021224,0.00021224,0.00021224
11,130.649,1.04152,0.97412,0.95842,0.81944,0.66511,0.75595,0.55481,1.03596,0.911,1.03176,0.000209933,0.000209933,0.000209933
12,143.939,1.03468,0.94236,0.9605,0.79912,0.68746,0.77508,0.56755,1.03631,0.87149,1.02516,0.000207626,0.000207626,0.000207626
13,161.097,0.99332,0.87784,0.9531,0.76606,0.70964,0.76307,0.56564,1.01706,0.84783,1.01568,0.00020532,0.00020532,0.00020532
14,171.625,1.02892,0.86381,0.95347,0.79902,0.74487,0.79122,0.56188,1.07557,0.81901,1.02928,0.000203013,0.000203013,0.000203013
15,180.112,1.01257,0.84994,0.95649,0.82768,0.76258,0.81989,0.61058,0.99227,0.7717,1.02106,0.000200706,0.000200706,0.000200706
16,188.725,0.98509,0.84434,0.94886,0.78341,0.79528,0.82327,0.61234,0.99875,0.76673,1.01812,0.0001984,0.0001984,0.0001984
17,198.795,0.99927,0.82796,0.94985,0.82479,0.76977,0.84738,0.625,1.00709,0.76763,1.01555,0.000196093,0.000196093,0.000196093
18,206.39,0.98363,0.8234,0.94107,0.87567,0.72969,0.82925,0.61041,1.01445,0.79939,1.01648,0.000193786,0.000193786,0.000193786
19,217.919,0.99465,0.80926,0.94053,0.82988,0.77868,0.82665,0.61412,1.00497,0.77503,1.02897,0.000191479,0.000191479,0.000191479
20,228.094,0.98486,0.77961,0.94264,0.84723,0.75911,0.83079,0.61626,0.99501,0.75715,1.00935,0.000189173,0.000189173,0.000189173
21,237.254,0.96043,0.7662,0.93934,0.78202,0.77946,0.84649,0.63254,0.99409,0.73733,1.01414,0.000186866,0.000186866,0.000186866
