epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16247,3.32909,3.12232,3.05993,0.88881,0.14286,0.14532,0.0436,3.43941,3.61071,4.18299,2e-05,2e-05,2e-05
2,4.03966,3.32962,3.22344,2.90904,0.89476,0.14286,0.14532,0.0436,3.4697,3.60445,4.19751,5.8812e-05,5.8812e-05,5.8812e-05
3,4.75241,3.47602,3.41467,3.47648,0.89118,0.14286,0.14591,0.04365,3.23839,3.43794,3.89899,9.604e-05,9.604e-05,9.604e-05
4,5.53629,3.23911,3.1458,3.04018,0.87781,0.14286,0.14753,0.08758,2.61951,2.85433,3.37189,0.000131684,0.000131684,0.000131684
5,6.44432,2.80107,2.80121,2.51523,0.48731,0.28571,0.21941,0.08139,2.38452,2.66792,2.95716,0.000165744,0.000165744,0.000165744
6,7.18525,2.71376,2.36624,2.77259,0.70787,0.42857,0.40682,0.10066,2.55724,2.34028,2.8594,0.00019822,0.00019822,0.00019822
7,7.95566,2.45603,2.47653,2.59279,1,0.4105,0.46273,0.1342,2.4103,2.35041,2.60695,0.000229112,0.000229112,0.000229112
8,9.26519,2.10818,2.28928,2.31458,1,0.42583,0.51291,0.19569,2.27457,2.34405,2.44255,0.00025842,0.00025842,0.00025842
9,10.007,2.1095,2.169,2.30703,1,0.42774,0.54131,0.19878,2.25243,2.37234,2.38747,0.000286144,0.000286144,0.000286144
10,11.0551,2.27737,2.45478,2.30974,1,0.42196,0.5524,0.20845,2.20266,2.44437,2.40956,0.000312284,0.000312284,0.000312284
11,12.1789,1.93277,1.98698,2.04468,0.58527,0.42857,0.57632,0.20377,2.24318,2.48666,2.57469,0.00033684,0.00033684,0.00033684
12,13.518,1.99918,1.9525,2.02068,0.59566,0.42857,0.55373,0.22137,2.31645,2.57247,2.71108,0.000359812,0.000359812,0.000359812
13,14.6451,1.90251,1.95745,1.97273,0.74516,0.42027,0.57686,0.23104,2.51939,2.63304,3.20582,0.0003812,0.0003812,0.0003812
14,15.5431,1.9616,1.98346,2.0212,0.3399,0.44264,0.56247,0.19622,2.56474,2.7168,3.28737,0.000401004,0.000401004,0.000401004
15,16.2862,1.9083,1.93809,2.02615,0.38987,0.54971,0.57178,0.19502,2.55501,2.60671,3.5307,0.000419224,0.000419224,0.000419224
16,17.0098,1.87116,1.77966,1.95423,0.36139,0.42857,0.46815,0.17689,2.52598,2.40755,3.52859,0.00043586,0.00043586,0.00043586
17,17.7948,1.90816,1.65154,1.90119,0.62248,0.28571,0.40446,0.15707,2.54829,2.22967,3.64466,0.000450912,0.000450912,0.000450912
18,18.5083,1.87164,1.75111,1.90996,0.60031,0.28571,0.43404,0.15692,2.59251,2.12131,3.66151,0.00046438,0.00046438,0.00046438
19,19.3714,1.696,1.57759,1.70331,0.52731,0.71429,0.58204,0.20851,2.5754,1.95013,3.49452,0.000476264,0.000476264,0.000476264
20,20.1449,1.89342,1.63954,1.9414,0.56765,0.71429,0.65276,0.23587,2.53719,1.79404,3.2224,0.000486564,0.000486564,0.000486564
21,20.9932,1.7079,1.50565,1.79842,0.56789,0.75393,0.74105,0.23833,2.49907,1.76742,3.14559,0.00049528,0.00049528,0.00049528
22,21.7161,1.70142,1.56141,1.73432,1,0.55059,0.7663,0.27444,2.43861,1.75976,2.9824,0.000502412,0.000502412,0.000502412
23,22.5866,1.72873,1.80591,1.78675,1,0.70988,0.89742,0.3771,2.16132,1.55587,2.28572,0.00050796,0.00050796,0.00050796
