epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2373,1.7101,2.17385,1.75519,0.30576,0.4939,0.28805,0.10456,2.02154,2.00724,2.23887,0.000653061,0.000653061,0.000653061
2,38.4233,1.09799,1.19468,1.2343,0.62053,0.4939,0.49841,0.18341,2.06033,2.16504,2.14226,0.0012936,0.0012936,0.0012936
3,59.3299,0.99762,0.96997,1.14655,0.80431,0.82317,0.83941,0.51268,1.17254,1.77807,1.41892,0.00190773,0.00190773,0.00190773
4,77.7566,0.98578,0.90943,1.13238,0.72101,0.75639,0.77968,0.4648,1.31029,1.549,1.50886,0.0018812,0.0018812,0.0018812
5,95.9655,0.95913,0.85651,1.10675,0.8237,0.87195,0.90005,0.49641,1.3803,1.02157,1.53846,0.0018416,0.0018416,0.0018416
6,115.769,0.89313,0.78882,1.08508,0.83244,0.90878,0.91659,0.52948,1.18972,0.97538,1.4809,0.001802,0.001802,0.001802
7,134.723,0.84489,0.74077,1.06309,0.85325,0.6736,0.81876,0.5102,1.20348,1.26385,1.36553,0.0017624,0.0017624,0.0017624
8,153.106,0.83904,0.72106,1.04833,0.82952,0.82927,0.89023,0.55211,1.19162,1.00124,1.3317,0.0017228,0.0017228,0.0017228
9,172.67,0.85325,0.7067,1.05706,0.80676,0.89097,0.90672,0.614,1.03652,0.87411,1.31944,0.0016832,0.0016832,0.0016832
10,191.875,0.84803,0.67105,1.06453,0.85806,0.92156,0.95258,0.60743,1.09432,0.80472,1.27994,0.0016436,0.0016436,0.0016436
11,209.826,0.80136,0.66296,1.03621,0.9032,0.89634,0.95971,0.62815,1.07722,0.8242,1.30651,0.001604,0.001604,0.001604
12,228.903,0.76095,0.62329,1.00794,0.9079,0.84153,0.93617,0.57441,1.14417,0.79947,1.31266,0.0015644,0.0015644,0.0015644
13,247.969,0.78237,0.60838,1.01373,0.90104,0.92073,0.91778,0.62352,1.12382,0.6992,1.30193,0.0015248,0.0015248,0.0015248
14,266.159,0.74284,0.60648,0.99955,0.81794,0.90854,0.92674,0.5786,1.18187,0.85294,1.37962,0.0014852,0.0014852,0.0014852
15,284.872,0.73401,0.56933,1.0024,0.84838,0.90244,0.92241,0.65396,0.96966,0.68282,1.25497,0.0014456,0.0014456,0.0014456
16,305.098,0.72974,0.57527,0.99948,0.90976,0.92209,0.9568,0.63378,1.08468,0.68198,1.26858,0.001406,0.001406,0.001406
17,323.503,0.72109,0.56538,0.98913,0.89439,0.98115,0.96918,0.65829,0.96946,0.64325,1.24663,0.0013664,0.0013664,0.0013664
18,342.785,0.7278,0.57988,1.00095,0.90133,0.91463,0.93576,0.67829,0.9023,0.63521,1.1788,0.0013268,0.0013268,0.0013268
19,362.855,0.73156,0.56047,0.99187,0.92486,0.93902,0.96223,0.66488,1.00438,0.66926,1.26166,0.0012872,0.0012872,0.0012872
20,381.79,0.69937,0.54496,0.97922,0.91816,0.92073,0.94909,0.65517,1.0096,0.63966,1.21892,0.0012476,0.0012476,0.0012476
21,400.295,0.67693,0.51436,0.96683,0.91692,0.94512,0.96132,0.68531,0.91913,0.55809,1.19868,0.001208,0.001208,0.001208
22,420.423,0.65427,0.50205,0.95615,0.92905,0.90854,0.9523,0.65323,1.05881,0.62811,1.25291,0.0011684,0.0011684,0.0011684
23,439.403,0.6782,0.52568,0.96671,0.9239,0.96233,0.97572,0.68329,0.958,0.55427,1.2234,0.0011288,0.0011288,0.0011288
24,458.062,0.62587,0.47984,0.95498,0.88932,0.96951,0.94977,0.66348,0.9333,0.56172,1.17965,0.0010892,0.0010892,0.0010892
25,478.667,0.64086,0.48742,0.96518,0.93411,0.93902,0.97064,0.66934,1.03432,0.56782,1.27691,0.0010496,0.0010496,0.0010496
26,497.2,0.69526,0.50292,0.98887,0.9182,0.97561,0.98189,0.69274,0.94042,0.54611,1.19245,0.00101,0.00101,0.00101
27,516.727,0.64557,0.47814,0.95975,0.93651,0.95122,0.97113,0.69034,0.91821,0.5729,1.18475,0.0009704,0.0009704,0.0009704
28,536.981,0.62872,0.46297,0.95251,0.93112,0.95732,0.94655,0.71842,0.84707,0.5267,1.16463,0.0009308,0.0009308,0.0009308
29,556.252,0.62755,0.47112,0.957,0.9178,0.95312,0.95842,0.70064,0.95283,0.54004,1.21603,0.0008912,0.0008912,0.0008912
30,574.887,0.61207,0.46377,0.95903,0.94621,0.96532,0.98474,0.65956,1.01742,0.52268,1.24958,0.0008516,0.0008516,0.0008516
31,595.754,0.61026,0.44399,0.94701,0.95164,0.93902,0.96089,0.71733,0.89751,0.50932,1.18788,0.000812,0.000812,0.000812
32,613.92,0.58832,0.44334,0.94587,0.93507,0.96951,0.98091,0.69645,0.96372,0.51573,1.24086,0.0007724,0.0007724,0.0007724
33,632.691,0.6031,0.4377,0.93856,0.91896,0.98171,0.97726,0.70964,0.92016,0.48457,1.20581,0.0007328,0.0007328,0.0007328
34,652.531,0.59325,0.4317,0.94329,0.94856,0.93902,0.9774,0.69073,0.9614,0.49848,1.2562,0.0006932,0.0006932,0.0006932
35,671.364,0.59042,0.42229,0.95137,0.92369,0.95951,0.96483,0.66675,0.96113,0.5381,1.23783,0.0006536,0.0006536,0.0006536
36,689.618,0.58637,0.4156,0.93973,0.95342,0.94512,0.97206,0.68381,0.94525,0.50721,1.21528,0.000614,0.000614,0.000614
37,710.037,0.5549,0.41117,0.9312,0.9683,0.93128,0.97097,0.68972,0.9638,0.50405,1.23052,0.0005744,0.0005744,0.0005744
38,729.038,0.5566,0.41518,0.92331,0.94361,0.97561,0.97665,0.71461,0.94488,0.48842,1.23436,0.0005348,0.0005348,0.0005348
39,746.831,0.55566,0.39834,0.93207,0.94826,0.97561,0.97601,0.72541,0.92255,0.47617,1.26535,0.0004952,0.0004952,0.0004952
40,766.447,0.54412,0.39265,0.93103,0.94664,0.97366,0.97026,0.72269,0.88574,0.46559,1.22895,0.0004556,0.0004556,0.0004556
41,787.828,0.47092,0.35261,0.88712,0.93512,0.9878,0.98336,0.73149,0.88624,0.46741,1.22567,0.000416,0.000416,0.000416
42,805.877,0.49569,0.33694,0.89971,0.94673,0.95732,0.98215,0.73456,0.8908,0.46438,1.20893,0.0003764,0.0003764,0.0003764
43,824.625,0.47927,0.32973,0.89687,0.93473,0.98171,0.9857,0.71735,0.95097,0.48299,1.23056,0.0003368,0.0003368,0.0003368
44,842.678,0.46775,0.31761,0.89787,0.95699,0.94974,0.97675,0.73269,0.89992,0.48442,1.21845,0.0002972,0.0002972,0.0002972
45,860.018,0.44941,0.30561,0.88094,0.97467,0.93855,0.97527,0.73311,0.91601,0.48373,1.21212,0.0002576,0.0002576,0.0002576
46,877.759,0.4362,0.29298,0.878,0.96316,0.95649,0.97417,0.74029,0.89445,0.47151,1.19117,0.000218,0.000218,0.000218
47,896.717,0.41477,0.28379,0.86876,0.96122,0.95732,0.97547,0.74791,0.92579,0.4793,1.20334,0.0001784,0.0001784,0.0001784
48,915.389,0.42121,0.28186,0.8754,0.96004,0.95122,0.97756,0.73485,0.91015,0.47466,1.20217,0.0001388,0.0001388,0.0001388
49,932.955,0.41356,0.28358,0.86606,0.95742,0.95966,0.97591,0.73876,0.89264,0.46652,1.20527,9.92e-05,9.92e-05,9.92e-05
50,949.879,0.40101,0.2707,0.86019,0.96129,0.95732,0.97643,0.72997,0.91903,0.48129,1.22479,5.96e-05,5.96e-05,5.96e-05
