epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.945,0.75851,2.93788,1.07267,0.95905,0.86389,0.91516,0.76918,0.92271,1.31121,1.29707,8.72872e-05,8.72872e-05,8.72872e-05
2,195.042,0.76183,1.31615,1.07459,0.95257,0.94797,0.94867,0.79795,0.87687,0.85293,1.20679,0.00016918,0.00016918,0.00016918
3,282.684,0.73196,0.94284,1.03605,0.96351,0.95804,0.95961,0.81029,0.88367,0.72417,1.19517,0.000245288,0.000245288,0.000245288
4,370.196,0.72714,0.83021,1.02058,0.96597,0.95641,0.96163,0.80952,0.87642,0.7182,1.17308,0.000236963,0.000236963,0.000236963
5,455.09,0.71715,0.77429,1.00787,0.97561,0.96287,0.97039,0.81848,0.86025,0.64846,1.1464,0.000228284,0.000228284,0.000228284
6,542.31,0.71619,0.74644,1.00721,0.98506,0.95961,0.97504,0.82456,0.84487,0.62164,1.13475,0.000219605,0.000219605,0.000219605
7,629.458,0.71006,0.72356,1.00369,0.97249,0.97222,0.97573,0.82719,0.84418,0.61249,1.12147,0.000210926,0.000210926,0.000210926
8,716.141,0.70652,0.71077,1.0047,0.97673,0.9741,0.97914,0.82915,0.85013,0.61676,1.13255,0.000202247,0.000202247,0.000202247
9,804.796,0.70562,0.68256,1.0002,0.98199,0.97329,0.98094,0.83198,0.84807,0.60326,1.12982,0.000193568,0.000193568,0.000193568
10,892.263,0.69931,0.66821,0.99652,0.98435,0.96947,0.97698,0.82604,0.83363,0.58861,1.12182,0.000184889,0.000184889,0.000184889
11,978.153,0.70615,0.66941,0.99856,0.98235,0.97404,0.98041,0.83359,0.84488,0.56981,1.12122,0.00017621,0.00017621,0.00017621
12,1063.51,0.69342,0.65109,0.99426,0.98705,0.96931,0.98056,0.83207,0.84041,0.58391,1.11597,0.000167531,0.000167531,0.000167531
13,1149.84,0.69092,0.64036,0.99232,0.98263,0.97198,0.97961,0.83345,0.84802,0.56594,1.13465,0.000158852,0.000158852,0.000158852
14,1238.04,0.68811,0.62473,0.98931,0.98144,0.97742,0.98377,0.83581,0.83796,0.56248,1.11838,0.000150173,0.000150173,0.000150173
15,1324.46,0.68431,0.61607,0.98814,0.98731,0.97388,0.98286,0.8355,0.84087,0.55442,1.11316,0.000141494,0.000141494,0.000141494
16,1416.64,0.68441,0.60901,0.98804,0.98781,0.97394,0.98355,0.83856,0.83506,0.55275,1.11584,0.000132815,0.000132815,0.000132815
17,1507.79,0.67727,0.59357,0.98071,0.98055,0.97642,0.98244,0.84005,0.83302,0.5519,1.11026,0.000124136,0.000124136,0.000124136
18,1604.52,0.67717,0.58658,0.98466,0.99183,0.97137,0.98327,0.83948,0.84233,0.54002,1.11396,0.000115457,0.000115457,0.000115457
19,1694.02,0.67495,0.58977,0.98436,0.98263,0.97328,0.98197,0.83824,0.83586,0.54314,1.10979,0.000106778,0.000106778,0.000106778
20,1782.02,0.67769,0.57839,0.98286,0.98824,0.96925,0.98131,0.83854,0.83836,0.54263,1.11594,9.8099e-05,9.8099e-05,9.8099e-05
21,1872.6,0.63978,0.48083,0.93943,0.99101,0.97308,0.98328,0.83942,0.83527,0.55266,1.12023,8.942e-05,8.942e-05,8.942e-05
22,1959.19,0.63683,0.45976,0.9344,0.99053,0.97174,0.98307,0.83942,0.83809,0.53954,1.1246,8.0741e-05,8.0741e-05,8.0741e-05
23,2042.32,0.63045,0.45153,0.93743,0.99046,0.97364,0.9826,0.84285,0.83366,0.5304,1.12785,7.2062e-05,7.2062e-05,7.2062e-05
24,2124.73,0.62907,0.44025,0.93323,0.98894,0.97053,0.9818,0.84156,0.83194,0.53327,1.12431,6.3383e-05,6.3383e-05,6.3383e-05
25,2204.49,0.62513,0.42996,0.93205,0.98612,0.97568,0.98299,0.84432,0.83568,0.53136,1.12905,5.4704e-05,5.4704e-05,5.4704e-05
26,2284.87,0.62311,0.42712,0.93381,0.98869,0.97209,0.98299,0.84356,0.83063,0.52307,1.12342,4.6025e-05,4.6025e-05,4.6025e-05
27,2365.98,0.62199,0.42056,0.93088,0.98466,0.97736,0.98342,0.84454,0.82563,0.52272,1.11887,3.7346e-05,3.7346e-05,3.7346e-05
28,2446.06,0.61562,0.41335,0.92967,0.98367,0.97704,0.98416,0.84628,0.82379,0.51545,1.12039,2.8667e-05,2.8667e-05,2.8667e-05
29,2528.86,0.6196,0.40969,0.92823,0.98561,0.97762,0.98396,0.84721,0.82655,0.51363,1.1176,1.9988e-05,1.9988e-05,1.9988e-05
30,2610.56,0.61378,0.40416,0.92467,0.98428,0.97742,0.98332,0.84717,0.82174,0.51394,1.11812,1.1309e-05,1.1309e-05,1.1309e-05
